name,nickname,born,record,earnings_$,height_cm,reach_cm,weight_kg,weight_class,last_fight
Alfie Davis,The Axe Man,1992.02.25,17-4-1 (Win-Loss-Draw),$0 USD,"5'11"" (180cm)","70.0"" (178cm)",155.6 lbs,Lightweight,"March 22, 2024"
Саид Нурмагомедов,N/A,1992.04.05,18-3-0 (Win-Loss-Draw),"$150,000 USD","5'8"" (173cm)","70.0"" (178cm)",136.0 lbs,Bantamweight,"October 21, 2023"
Gregory Felipe Santos Rodrigues,Robocop,1992.02.17,15-5-0 (Win-Loss-Draw),"$150,000 USD","6'3"" (191cm)","75.0"" (191cm)",186.0 lbs,Middleweight,"February 10, 2024"
Вугар Кярамов,Vugi,1992.02.20,19-5-0 (Win-Loss-Draw),$0 USD,"5'9"" (176cm)","70.5"" (179cm)",144.6 lbs,Featherweight,"November 04, 2023"
Jack Jenkins,Phar,1993.03.11,12-3-0 (Win-Loss-Draw),$0 USD,"5'7"" (170cm)","68.0"" (173cm)",145.9 lbs,Featherweight,"September 09, 2023"
Bruna Ellen,N/A,1996.06.26,7-4-0 (Win-Loss-Draw),$0 USD,"5'4"" (163cm)","65.0"" (165cm)",125.6 lbs,Flyweight,"April 22, 2023"
Robert Ruchała,N/A,1998.05.15,10-1-0 (Win-Loss-Draw),$0 USD,"5'10"" (178cm)","72.4"" (184cm)",144.2 lbs,Featherweight,"May 11, 2024"
Rhys McKee,Skeletor,1995.09.10,13-6-1 (Win-Loss-Draw),$0 USD,"6'2"" (188cm)","78.0"" (198cm)",170.3 lbs,Welterweight,"March 30, 2024"
Adrian Bartosiński,Bartos,1995.08.26,16-0-0 (Win-Loss-Draw),$0 USD,"5'11"" (181cm)","71.7"" (182cm)",170.0 lbs,Welterweight,"May 11, 2024"
Payton Talbott,N/A,1998.09.09,8-0-0 (Win-Loss-Draw),"$50,000 USD","5'10"" (178cm)","70.0"" (178cm)",135.5 lbs,Bantamweight,"March 23, 2024"
Fernando Lucas,N/A,N/A,N/A,$0 USD,N/A,N/A,N/A,,"September 18, 2022"
Timothy Carl Means,The Dirty Bird,1984.02.20,"33-16-1, 1 NC (Win-Loss-Draw)","$586,000 USD","6'2"" (188cm)","75.0"" (191cm)",171.0 lbs,Welterweight,"April 27, 2024"
Bryce Meredith,Misfit,1995.04.30,6-0-0 (Win-Loss-Draw),$0 USD,"5'9"" (175cm)","68.5"" (174cm)",135.8 lbs,Bantamweight,"April 04, 2024"
JaCobi Jones,Big Toe,1996.05.24,6-3-0 (Win-Loss-Draw),$0 USD,"5'9"" (175cm)","72.0"" (183cm)",155.2 lbs,Lightweight,"January 12, 2024"
Jake Hadley,White Kong,1996.08.03,10-3-0 (Win-Loss-Draw),"$50,000 USD","5'7"" (170cm)","70.0"" (178cm)",125.0 lbs,Flyweight,"May 11, 2024"
Jerrell Hodge,Thunderkat,1989.11.24,10-4-0 (Win-Loss-Draw),$0 USD,"5'6"" (168cm)","70.0"" (178cm)",135.6 lbs,Bantamweight,"August 11, 2023"
Alessandro Costa,Nono,1996.01.28,14-4-0 (Win-Loss-Draw),"$100,000 USD","5'4"" (163cm)","67.0"" (170cm)",125.0 lbs,Flyweight,"May 04, 2024"
Paweł Pawlak,Plastinho,1989.02.08,23-4-1 (Win-Loss-Draw),$0 USD,"6'0"" (183cm)","74.0"" (188cm)",184.7 lbs,Middleweight,"December 16, 2023"
Mandy Böhm,Monster,1989.07.30,"8-2-0, 1 NC (Win-Loss-Draw)",$0 USD,"5'7"" (170cm)","71.0"" (180cm)",126.0 lbs,Flyweight,"May 13, 2023"
Alexandr Anatolyevich Romanov,King Kong,1990.12.11,17-3-0 (Win-Loss-Draw),"$86,000 USD","6'2"" (188cm)","75.0"" (191cm)",265.0 lbs,Heavyweight,"June 01, 2024"
Eduardo José Neves,Bebezao,2000.03.16,8-3-0 (Win-Loss-Draw),$0 USD,"6'2"" (188cm)","78.5"" (199cm)",264.2 lbs,Heavyweight,"May 18, 2024"
Miguel Felipe Bunes da Silva,Felipinho,1989.10.26,13-7-0 (Win-Loss-Draw),$0 USD,"5'7"" (170cm)","71.0"" (180cm)",125.5 lbs,Flyweight,"January 13, 2024"
The meal deal,The Hillbilly Hammer,1993.07.02,7-1-0 (Win-Loss-Draw),$0 USD,"6'0"" (183cm)","73.0"" (185cm)",184.3 lbs,Middleweight,"May 17, 2024"
Caolán Loughran,The Don,1996.05.18,9-1-0 (Win-Loss-Draw),$0 USD,"5'6"" (168cm)","68.0"" (173cm)",135.0 lbs,Bantamweight,"March 30, 2024"
Yves Landu,You Know,1986.08.13,21-9-0 (Win-Loss-Draw),$0 USD,"5'8"" (173cm)","73.0"" (185cm)",145.4 lbs,Featherweight,"May 17, 2024"
Sullivan Cauley,Sully,1996.05.15,6-1-0 (Win-Loss-Draw),"$4,000 USD","6'3"" (191cm)","74.5"" (189cm)",205.6 lbs,Light Heavyweight,"August 11, 2023"
Gaston Andre Bolaños,The Dreamkiller,1992.09.14,7-4-0 (Win-Loss-Draw),"$87,000 USD","5'7"" (170cm)","69.0"" (175cm)",135.5 lbs,Bantamweight,"January 13, 2024"
Victor Altamirano Romano,El Magnifico,1991.01.23,12-4-0 (Win-Loss-Draw),"$70,000 USD","5'8"" (173cm)","70.0"" (178cm)",125.0 lbs,Flyweight,"February 24, 2024"
George Hardwick,N/A,1996.12.06,12-2-0 (Win-Loss-Draw),$0 USD,"5'10"" (178cm)","72.0"" (183cm)",155.0 lbs,Lightweight,"August 15, 2023"
Billy Goff,N/A,1998.06.18,9-3-0 (Win-Loss-Draw),"$50,000 USD","5'10"" (178cm)","72.5"" (184cm)",170.3 lbs,Welterweight,"May 11, 2024"
Jordan Oliver,That Dude,1990.05.08,1-0-0 (Win-Loss-Draw),$0 USD,"5'6"" (168cm)","70.5"" (179cm)",145.6 lbs,Featherweight,"August 11, 2023"
Jakob Nedoh,The Gorilla,1996.10.01,8-2-0 (Win-Loss-Draw),$0 USD,"6'3"" (191cm)","73.0"" (185cm)",206.0 lbs,Light Heavyweight,"April 12, 2024"
Josh Hokit,The Incredible Hok,1997.11.12,1-0-0 (Win-Loss-Draw),$0 USD,"6'1"" (185cm)",N/A,246.0 lbs,Heavyweight,"October 07, 2023"
Marcirley Alves da Silva,Durin,1999.07.22,12-3-0 (Win-Loss-Draw),$0 USD,"5'4"" (163cm)","68.0"" (173cm)",135.2 lbs,Bantamweight,"August 11, 2023"
Mark Ewen,N/A,N/A,5-1-0 (Win-Loss-Draw),$0 USD,"6'0"" (183cm)","74.0"" (188cm)",155.1 lbs,Lightweight,"June 08, 2024"
Марина Мохнаткина,N/A,1988.05.12,11-4-0 (Win-Loss-Draw),"$32,000 USD","5'6"" (168cm)","66.0"" (168cm)",144.0 lbs,Featherweight,"November 24, 2023"
Sinead Kavanagh,KO,1986.02.01,9-6-0 (Win-Loss-Draw),$0 USD,"5'7"" (170cm)","68.0"" (173cm)",145.8 lbs,Featherweight,"September 23, 2023"
Marina Alcalde Rodriguez,N/A,1987.04.29,17-4-2 (Win-Loss-Draw),"$100,000 USD","5'6"" (168cm)","65.0"" (165cm)",116.0 lbs,Strawweight,"April 13, 2024"
Javier Garcia,El Mariachi,1992.07.03,"11-5-0, 1 NC (Win-Loss-Draw)",$0 USD,"5'10"" (178cm)","69.0"" (175cm)",145.0 lbs,Featherweight,"June 07, 2024"
Henry Corrales,OK,1986.08.11,21-8-0 (Win-Loss-Draw),"$186,000 USD","5'8"" (173cm)","70.0"" (178cm)",155.7 lbs,Lightweight,"February 24, 2024"
Charles Anthony Johnson,InnerG,1991.01.10,15-6-0 (Win-Loss-Draw),"$50,000 USD","5'9"" (175cm)","70.0"" (178cm)",125.5 lbs,Flyweight,"May 11, 2024"
Zhakwarius Ya'myl Jose Johnson,Lobo Solitario,1995.05.20,16-8-0 (Win-Loss-Draw),$0 USD,"6'0"" (183cm)","71.5"" (182cm)",136.0 lbs,Bantamweight,"November 18, 2023"
Khurshed Kakhorov,Killer,1992.02.20,13-1-0 (Win-Loss-Draw),$0 USD,"5'8"" (173cm)","68.0"" (173cm)",135.7 lbs,Bantamweight,"June 08, 2024"
渡辺華奈,N/A,1988.08.21,13-2-1 (Win-Loss-Draw),$0 USD,"5'6"" (167cm)","66.0"" (168cm)",125.0 lbs,Flyweight,"April 04, 2024"
菊入正行,N/A,1995.06.30,9-2-1 (Win-Loss-Draw),$0 USD,"6'0"" (184cm)","73.5"" (187cm)",169.0 lbs,Welterweight,"April 22, 2023"
Brent Primus,N/A,1985.04.12,"13-3-0, 1 NC (Win-Loss-Draw)","$66,000 USD","5'10"" (178cm)","73.0"" (185cm)",155.8 lbs,Lightweight,"April 12, 2024"
Otto Rodrigues dos Santos Lima,N/A,1988.03.28,14-2-0 (Win-Loss-Draw),$0 USD,"5'6"" (168cm)","62.0"" (157cm)",145.2 lbs,Featherweight,"April 19, 2024"
Jason Marlon Jackson,The Ass-Kicking Machine,1990.10.30,18-4-0 (Win-Loss-Draw),"$5,000 USD","6'1"" (185cm)","78.5"" (199cm)",182.1 lbs,Middleweight,"February 24, 2024"
Larissa Moreira Pacheco,N/A,1994.09.07,23-4-0 (Win-Loss-Draw),"$98,000 USD","5'6"" (168cm)","69.0"" (175cm)",145.0 lbs,Featherweight,"November 24, 2023"
Alex Caceres,Bruce Leeroy,1988.06.20,"21-15-0, 1 NC (Win-Loss-Draw)","$752,000 USD","5'10"" (178cm)","73.5"" (187cm)",145.0 lbs,Featherweight,"May 11, 2024"
Довлетджан Ягшимуратов,Wolfhound,1989.05.22,22-7-1 (Win-Loss-Draw),"$140,000 USD","5'11"" (180cm)","72.0"" (183cm)",205.6 lbs,Light Heavyweight,"April 12, 2024"
Гаджи Рабаданов,N/A,1993.07.01,21-4-2 (Win-Loss-Draw),$0 USD,"5'8"" (173cm)","71.0"" (180cm)",155.8 lbs,Lightweight,"April 12, 2024"
Joshua Silveira,Coninha,1992.12.25,13-2-0 (Win-Loss-Draw),"$50,000 USD","6'1"" (185cm)","75.0"" (191cm)",205.4 lbs,Light Heavyweight,"April 12, 2024"
Juan Archuleta,Spaniard,1987.09.13,29-6-0 (Win-Loss-Draw),"$125,750 USD","5'7"" (170cm)","69.0"" (175cm)",134.0 lbs,Bantamweight,"June 09, 2024"
Melissa Tonya Mullins,No Mess,1991.07.23,6-1-0 (Win-Loss-Draw),$0 USD,"5'7"" (170cm)","68.0"" (173cm)",138.0 lbs,Bantamweight,"April 06, 2024"
Ciaran Clarke,N/A,1995.05.25,9-0-0 (Win-Loss-Draw),$0 USD,"5'8"" (173cm)","66.0"" (168cm)",135.5 lbs,Bantamweight,"March 22, 2024"
Philip De Fries,N/A,1986.04.21,"25-6-0, 1 NC (Win-Loss-Draw)","$15,000 USD","6'4"" (194cm)","79.0"" (201cm)",263.9 lbs,Heavyweight,"June 07, 2024"
Sam Hughes,Sampage,1992.06.28,8-6-0 (Win-Loss-Draw),$0 USD,"5'5"" (165cm)","64.5"" (164cm)",115.0 lbs,Strawweight,"February 24, 2024"
Andre Riley Givens-Fili,Touchy,1990.06.25,"23-11-0, 1 NC (Win-Loss-Draw)","$500,200 USD","5'11"" (180cm)","74.0"" (188cm)",146.0 lbs,Featherweight,"February 10, 2024"
Theo Haig,N/A,1996.08.23,3-0-0 (Win-Loss-Draw),"$4,000 USD","6'2"" (188cm)","76.0"" (193cm)",184.2 lbs,Middleweight,"August 26, 2023"
Christian Leroy Duncan,CLD,1995.07.24,10-1-0 (Win-Loss-Draw),$0 USD,"6'2"" (188cm)","79.0"" (201cm)",186.0 lbs,Middleweight,"March 02, 2024"
Richie Smullen,N/A,1991.08.17,13-3-1 (Win-Loss-Draw),"$10,000 USD","5'9"" (175cm)","71.0"" (180cm)",145.0 lbs,Lightweight,"May 17, 2024"
Jacqueline Cavalcanti,N/A,1997.08.29,6-1-0 (Win-Loss-Draw),$0 USD,"5'8"" (173cm)","70.0"" (178cm)",139.0 lbs,Featherweight,"September 02, 2023"
Хасан Магомедшарипов,N/A,2000.10.06,9-0-0 (Win-Loss-Draw),$0 USD,"5'11"" (180cm)","71.0"" (180cm)",145.6 lbs,Featherweight,"September 23, 2023"
Bradley Devin Katona,Superman,1991.12.19,14-3-0 (Win-Loss-Draw),"$80,000 USD","5'6"" (168cm)","64.5"" (164cm)",136.0 lbs,Bantamweight,"June 08, 2024"
Sarvarjon Khamidov,Sarvar,1997.04.13,15-0-0 (Win-Loss-Draw),$0 USD,"5'6"" (168cm)","68.0"" (173cm)",140.6 lbs,Featherweight,"May 12, 2023"
"鈴木千裕, Suzuki Chihiro",N/A,1999.05.14,"13-3-0, 1 NC (Win-Loss-Draw)",$0 USD,"5'8"" (173cm)","69.7"" (177cm)",145.4 lbs,Featherweight,"April 29, 2024"
Daniel Gustavo Santos,Willycat,1995.03.12,11-2-0 (Win-Loss-Draw),"$50,000 USD","5'7"" (170cm)","67.0"" (170cm)",135.5 lbs,Bantamweight,"June 03, 2023"
Clayton Carpenter,N/A,1996.06.04,7-0-0 (Win-Loss-Draw),$0 USD,"5'6"" (168cm)","66.0"" (168cm)",125.0 lbs,Flyweight,"February 18, 2023"
Athlone Dobson,N/A,1992.01.18,"7-3-0, 1 NC (Win-Loss-Draw)",$0 USD,"6'1"" (185cm)","76.0"" (193cm)",185.5 lbs,Middleweight,"March 23, 2024"
JJ Aldrich,N/A,1992.09.29,13-7-0 (Win-Loss-Draw),"$67,250 USD","5'5"" (165cm)","67.5"" (171cm)",125.3 lbs,Flyweight,"May 11, 2024"
Lorenz W. Larkin,The Monsoon,1986.09.03,"25-8-0, 2 NC (Win-Loss-Draw)","$684,975 USD","5'11"" (181cm)","72.5"" (184cm)",170.6 lbs,Welterweight,"July 29, 2023"
Martin Buday,Badys,1991.11.11,13-2-0 (Win-Loss-Draw),"$24,000 USD","6'4"" (193cm)","77.0"" (196cm)",264.5 lbs,Heavyweight,"December 16, 2023"
Wladimir Gouvea Massi Da Cunha,Blanka,1992.11.17,2-0-0 (Win-Loss-Draw),$0 USD,"6'0"" (183cm)","74.0"" (188cm)",264.0 lbs,Heavyweight,"June 16, 2023"
Денис Гольцов,The Russian Bogatyr,1990.06.10,33-8-0 (Win-Loss-Draw),"$150,000 USD","6'5"" (196cm)","78.0"" (198cm)",245.4 lbs,Heavyweight,"April 04, 2024"
"이정영, Lee Jung Young",The Korean Tiger,1995.11.13,11-1-0 (Win-Loss-Draw),$0 USD,"5'10"" (178cm)","73.0"" (185cm)",146.0 lbs,Featherweight,"February 03, 2024"
Jaqueline de Moraes Amorim Ramos,Jacque,1995.06.24,8-1-0 (Win-Loss-Draw),"$50,000 USD","5'3"" (160cm)","68.0"" (173cm)",116.0 lbs,Strawweight,"March 16, 2024"
Mick Stanton,The Huyton Hammer,1987.01.27,13-8-0 (Win-Loss-Draw),$0 USD,"5'11"" (180cm)","74.0"" (188cm)",185.8 lbs,Middleweight,"April 20, 2024"
Clay Jordan Collard,Cassius,1993.03.10,"25-12-0, 1 NC (Win-Loss-Draw)","$62,000 USD","5'11"" (180cm)","73.0"" (185cm)",155.6 lbs,Lightweight,"April 12, 2024"
Sadibou Sy,The Swedish Denzel Washington,1986.11.27,"16-8-2, 1 NC (Win-Loss-Draw)","$177,000 USD","6'3"" (191cm)","80.0"" (203cm)",205.0 lbs,Light Heavyweight,"April 12, 2024"
Cris Lencioni,Sunshine,1994.07.28,11-3-0 (Win-Loss-Draw),$0 USD,"5'10"" (178cm)","71.0"" (180cm)",152.4 lbs,Featherweight,"April 21, 2023"
Sergio Daniel Cossio Dominguez,Drako,N/A,26-9-1 (Win-Loss-Draw),$0 USD,"5'7"" (170cm)","70.0"" (178cm)",156.0 lbs,Lightweight,"October 07, 2023"
Anatoly Malykhin,Spartak,1988.01.11,14-0-0 (Win-Loss-Draw),$0 USD,"6'0"" (183cm)",N/A,N/A,Light Heavyweight,"March 01, 2024"
"강경호, Kang Kyung Ho",Mr. Perfect,1987.09.09,"19-10-0, 1 NC (Win-Loss-Draw)","$118,000 USD","5'9"" (176cm)","73.0"" (185cm)",138.0 lbs,Bantamweight,"November 11, 2023"
Christopher Gutierrez,El Guapo,1991.04.22,20-5-2 (Win-Loss-Draw),"$172,000 USD","5'9"" (175cm)","67.0"" (170cm)",136.0 lbs,Bantamweight,"December 09, 2023"
Dario Bellandi,Neanderthal,N/A,7-1-0 (Win-Loss-Draw),$0 USD,"6'3"" (190cm)",N/A,184.9 lbs,Middleweight,"November 25, 2023"
Killys Mota,N/A,1990.11.03,15-4-0 (Win-Loss-Draw),$0 USD,"5'11"" (180cm)","71.0"" (180cm)",160.0 lbs,Lightweight,"November 17, 2023"
Tanner Boser,The Bulldozer,1991.08.02,21-10-1 (Win-Loss-Draw),"$74,000 USD","6'2"" (188cm)","75.5"" (192cm)",204.5 lbs,Light Heavyweight,"August 05, 2023"
Thiago Henrique Moisés,N/A,1995.03.23,18-8-0 (Win-Loss-Draw),"$124,000 USD","5'9"" (175cm)","70.5"" (179cm)",156.0 lbs,Lightweight,"June 08, 2024"
Liam Gittins,Nightmare,N/A,13-4-0 (Win-Loss-Draw),$0 USD,"5'6"" (168cm)",N/A,134.7 lbs,Bantamweight,"March 16, 2024"
John Sweeney,Hollywood,1995.04.06,13-3-0 (Win-Loss-Draw),$0 USD,"5'7"" (170cm)","68.0"" (173cm)",135.0 lbs,Bantamweight,"June 16, 2023"
Daniel Pineda,The Pit,1985.08.06,"28-15-0, 3 NC (Win-Loss-Draw)","$326,000 USD","5'7"" (170cm)","69.0"" (175cm)",145.5 lbs,Featherweight,"June 03, 2023"
Gabriel Alves Braga,N/A,1998.04.24,13-1-0 (Win-Loss-Draw),$0 USD,"5'9"" (175cm)","72.0"" (183cm)",145.4 lbs,Featherweight,"April 19, 2024"
Sharabutdin Magomedov (Шарабутдин Магомедов),Bullet,1994.05.16,12-0-0 (Win-Loss-Draw),$0 USD,"6'2"" (188cm)","73.0"" (185cm)",186.0 lbs,Middleweight,"October 21, 2023"
Randall Joseph Brown,Rudeboy,1990.07.08,19-5-0 (Win-Loss-Draw),"$112,000 USD","6'3"" (191cm)","78.0"" (198cm)",170.0 lbs,Welterweight,"June 01, 2024"
Michał Oleksiejczuk,Hussar,1995.02.22,"19-8-0, 1 NC (Win-Loss-Draw)","$174,000 USD","6'0"" (184cm)","74.0"" (188cm)",185.0 lbs,Middleweight,"June 01, 2024"
Bradley Kaipo Sarbida Tavares,N/A,1987.12.21,20-9-0 (Win-Loss-Draw),"$497,000 USD","6'1"" (185cm)","74.0"" (188cm)",186.0 lbs,Middleweight,"February 10, 2024"
Fernando Padilla,El Valiente,1996.12.15,16-5-0 (Win-Loss-Draw),"$50,000 USD","6'1"" (186cm)","76.0"" (193cm)",145.0 lbs,Featherweight,"March 23, 2024"
Азат Максум,Qazaq,1995.02.02,15-1-0 (Win-Loss-Draw),"$50,000 USD","5'7"" (170cm)","70.0"" (178cm)",126.0 lbs,Flyweight,"February 03, 2024"
Халид Муртазалиев,N/A,1993.07.15,17-3-0 (Win-Loss-Draw),"$33,000 USD","6'0"" (183cm)","72.5"" (184cm)",186.8 lbs,Middleweight,"March 10, 2023"
Armen Karlenovich Petrosyan,Superman,1990.11.03,8-3-0 (Win-Loss-Draw),$0 USD,"6'3"" (191cm)","71.0"" (180cm)",186.0 lbs,Middleweight,"February 10, 2024"
Timothy Johnson,N/A,1985.03.13,17-9-0 (Win-Loss-Draw),"$141,000 USD","6'3"" (191cm)","78.0"" (198cm)",262.0 lbs,Heavyweight,"April 12, 2024"
Viviane Araujo Gomes,Vivi,1986.11.21,12-6-0 (Win-Loss-Draw),"$59,400 USD","5'4"" (163cm)","68.0"" (173cm)",126.0 lbs,Flyweight,"February 03, 2024"
Josiane Nunes,Josi,1993.12.23,10-2-0 (Win-Loss-Draw),"$50,000 USD","5'2"" (157cm)","67.0"" (170cm)",135.0 lbs,Bantamweight,"March 16, 2024"
Olivier Aubin-Mercier,The Canadian Gangster,1989.02.23,21-5-0 (Win-Loss-Draw),"$154,000 USD","5'9"" (175cm)","70.5"" (179cm)",154.8 lbs,Lightweight,"November 24, 2023"
James Gallagher,The Strabanimal,1996.10.24,12-3-0 (Win-Loss-Draw),$0 USD,"5'8"" (173cm)","67.0"" (170cm)",145.4 lbs,Featherweight,"March 22, 2024"
Fares Ziam,Smile Killer,1997.03.21,15-4-0 (Win-Loss-Draw),$0 USD,"6'1"" (185cm)","75.0"" (191cm)",156.0 lbs,Lightweight,"February 24, 2024"
Joseph Nathan Maness,Mayhem,1991.06.27,15-3-0 (Win-Loss-Draw),"$150,000 USD","5'10"" (178cm)","72.0"" (183cm)",126.0 lbs,Flyweight,"October 07, 2023"
Laird Anderson,N/A,1998.07.11,4-0-0 (Win-Loss-Draw),"$4,000 USD","5'7"" (170cm)","65.0"" (165cm)",146.0 lbs,Featherweight,"March 10, 2023"
Nate Landwehr,The Train,1988.06.07,18-5-0 (Win-Loss-Draw),"$286,000 USD","5'9"" (175cm)","70.5"" (179cm)",145.3 lbs,Featherweight,"March 30, 2024"
Олег Попов,N/A,1992.01.10,17-1-0 (Win-Loss-Draw),$0 USD,"6'1"" (185cm)",N/A,242.2 lbs,Heavyweight,"April 04, 2024"
Gillian Robertson,The Savage,1995.05.17,13-8-0 (Win-Loss-Draw),"$170,000 USD","5'5"" (165cm)","63.0"" (160cm)",115.8 lbs,Strawweight,"January 20, 2024"
Impa Kasanganay,Tshilobo,1994.01.17,16-4-0 (Win-Loss-Draw),$0 USD,"5'11"" (180cm)","75.0"" (191cm)",204.8 lbs,Light Heavyweight,"April 12, 2024"
Marcos Rogério de Lima,Pezão,1985.05.25,22-9-1 (Win-Loss-Draw),"$29,000 USD","6'1"" (185cm)","75.0"" (191cm)",261.5 lbs,Heavyweight,"February 17, 2024"
Joanne Wood,JoJo,1985.12.23,17-8-0 (Win-Loss-Draw),"$162,000 USD","5'6"" (168cm)","65.5"" (166cm)",125.0 lbs,Flyweight,"March 09, 2024"
Jordan Newman,Not Human,1995.07.06,6-0-0 (Win-Loss-Draw),$0 USD,"6'0"" (183cm)","73.0"" (185cm)",186.0 lbs,Middleweight,"June 16, 2023"
Jesus Pinedo,El Mudo,1996.06.22,23-6-1 (Win-Loss-Draw),$0 USD,"6'0"" (183cm)","74.0"" (188cm)",145.0 lbs,Featherweight,"November 24, 2023"
Andre Petroski,N/A,1991.06.12,10-3-0 (Win-Loss-Draw),$0 USD,"6'0"" (183cm)","73.0"" (185cm)",186.0 lbs,Middleweight,"March 30, 2024"
Aalon Cruz,N/A,1989.09.20,11-5-0 (Win-Loss-Draw),"$10,000 USD","6'0"" (183cm)","77.5"" (197cm)",155.6 lbs,Lightweight,"August 11, 2023"
Jay Jay Wilson,The Māori Kid,1997.08.02,10-1-0 (Win-Loss-Draw),"$10,000 USD","5'11"" (180cm)","74.0"" (188cm)",156.0 lbs,Lightweight,"September 23, 2023"
Isaac Dulgarian,The Midwest Choppa,1996.07.04,6-1-0 (Win-Loss-Draw),$0 USD,"5'7"" (170cm)","71.0"" (180cm)",145.5 lbs,Featherweight,"March 16, 2024"
Alex Morono,The Great White,1990.08.16,"24-10-0, 1 NC (Win-Loss-Draw)","$154,000 USD","5'11"" (180cm)","72.0"" (183cm)",170.0 lbs,Welterweight,"June 01, 2024"
Manel Kape,Starboy,1993.11.14,19-6-0 (Win-Loss-Draw),"$60,000 USD","5'5"" (165cm)","68.0"" (173cm)",126.0 lbs,Flyweight,"September 09, 2023"
Manuel Roberto Torres Cano,El Loco,1995.03.25,15-2-0 (Win-Loss-Draw),"$150,000 USD","5'10"" (178cm)","73.0"" (185cm)",155.0 lbs,Lightweight,"February 24, 2024"
James Andrew Miller,A-10,1983.08.30,"37-18-0, 1 NC (Win-Loss-Draw)","$1,816,000 USD","5'8"" (173cm)","71.0"" (180cm)",155.5 lbs,Lightweight,"April 13, 2024"
Neil Magny,Haitian Sensation,1987.08.03,29-11-0 (Win-Loss-Draw),"$1,151,000 USD","6'3"" (191cm)","80.0"" (203cm)",170.8 lbs,Welterweight,"January 20, 2024"
Josh O'Connor,N/A,1998.11.04,7-0-0 (Win-Loss-Draw),$0 USD,"5'10"" (178cm)","70.0"" (178cm)",145.8 lbs,Lightweight,"February 24, 2024"
Angela Patrice Hill,Overkill,1985.01.12,17-13-0 (Win-Loss-Draw),"$683,000 USD","5'3"" (160cm)","64.5"" (164cm)",115.5 lbs,Strawweight,"May 18, 2024"
Marcin Tybura,Tybur,1985.11.09,25-8-0 (Win-Loss-Draw),"$648,000 USD","6'3"" (191cm)","78.0"" (198cm)",247.0 lbs,Heavyweight,"March 16, 2024"
Danny Sabatello,The Italian Gangster,1993.03.31,14-4-0 (Win-Loss-Draw),$0 USD,"5'10"" (178cm)","69.5"" (177cm)",135.8 lbs,Bantamweight,"November 17, 2023"
Da'mon Marquel Blackshear,Da Monster,1994.08.12,14-6-1 (Win-Loss-Draw),"$62,000 USD","5'10"" (178cm)","72.2"" (183cm)",135.5 lbs,Bantamweight,"August 19, 2023"
Mike Breeden,Money,1989.04.21,11-6-0 (Win-Loss-Draw),$0 USD,"5'10"" (178cm)","70.0"" (178cm)",159.5 lbs,Lightweight,"October 21, 2023"
Bryce Logan,N/A,1989.12.04,13-8-0 (Win-Loss-Draw),$0 USD,"5'9"" (175cm)","70.0"" (178cm)",155.8 lbs,Lightweight,"February 23, 2024"
Thalles Renan Ferreira,Problema,1989.11.23,"13-3-0, 3 NC (Win-Loss-Draw)","$19,000 USD","6'8"" (203cm)","85.0"" (216cm)",263.2 lbs,Heavyweight,"February 24, 2024"
Thibault Gouti,GT,1987.02.27,17-7-0 (Win-Loss-Draw),"$50,000 USD","5'10"" (178cm)","73.0"" (185cm)",157.7 lbs,Lightweight,"May 17, 2024"
Terrance McKinney,T.Wrecks,1994.09.15,15-7-0 (Win-Loss-Draw),$0 USD,"5'10"" (178cm)","73.5"" (187cm)",155.3 lbs,Lightweight,"May 11, 2024"
Магомед Магомедкеримов,N/A,1990.01.10,34-6-0 (Win-Loss-Draw),"$1,275,000 USD","6'1"" (185cm)","73.0"" (185cm)",170.0 lbs,Welterweight,"November 24, 2023"
Pat Sabatini,N/A,1990.11.09,18-5-0 (Win-Loss-Draw),"$50,000 USD","5'8"" (173cm)","70.0"" (178cm)",145.8 lbs,Featherweight,"November 11, 2023"
Jafel Cavalcante Cordeiro Filho,Pastor,1993.05.05,16-3-0 (Win-Loss-Draw),"$50,000 USD","5'7"" (170cm)","68.5"" (174cm)",125.5 lbs,Flyweight,"March 16, 2024"
