name,nickname,born,record,earnings_$,height_cm,reach_cm,weight_kg,weight_class,last_fight
Michael Jerome Reece-Page,Venom,1987.04.07,22-2-0 (Win-Loss-Draw),"$40,000 USD","6'3"" (191cm)","79.0"" (201cm)",170.0 lbs,Welterweight,"March 09, 2024"
Trey Waters,The Truth,1995.02.21,9-1-0 (Win-Loss-Draw),"$50,000 USD","6'5"" (196cm)","77.0"" (196cm)",170.0 lbs,Welterweight,"May 11, 2024"
Enrique Jhonatan Barzola Acosta,El Fuerte,1989.04.28,20-8-2 (Win-Loss-Draw),"$42,000 USD","5'7"" (170cm)","70.0"" (178cm)",146.0 lbs,Featherweight,"April 19, 2024"
Corey Anderson,Overtime,1989.09.22,"18-6-0, 1 NC (Win-Loss-Draw)","$796,000 USD","6'3"" (191cm)","77.5"" (197cm)",204.6 lbs,Light Heavyweight,"March 22, 2024"
Aaron Jeffery,N/A,1992.11.14,14-5-0 (Win-Loss-Draw),$0 USD,"6'2"" (188cm)","73.0"" (185cm)",185.2 lbs,Middleweight,"March 22, 2024"
Tainara B de Almeida Lisboa,Thai Panther,1991.03.02,7-2-0 (Win-Loss-Draw),$0 USD,"5'7"" (170cm)","67.0"" (170cm)",133.5 lbs,Bantamweight,"October 14, 2023"
Lucas Brennan,Skywalker,2000.06.03,9-1-0 (Win-Loss-Draw),$0 USD,"5'10"" (178cm)","71.0"" (180cm)",145.6 lbs,Featherweight,"April 04, 2024"
Luca Poclit,N/A,1989.09.21,10-1-0 (Win-Loss-Draw),$0 USD,"6'0"" (183cm)","73.0"" (185cm)",169.8 lbs,Welterweight,"September 23, 2023"
Zak Cummings,N/A,1984.08.02,25-7-0 (Win-Loss-Draw),"$129,000 USD","6'0"" (183cm)","75.0"" (191cm)",206.0 lbs,Light Heavyweight,"April 15, 2023"
"박현성, Park Hyun Sung",Peace of Mind,1995.11.04,9-0-0 (Win-Loss-Draw),"$50,000 USD","5'7"" (171cm)","66.0"" (168cm)",126.0 lbs,Flyweight,"December 09, 2023"
Drakkar Klose,N/A,1988.03.09,15-2-1 (Win-Loss-Draw),"$356,000 USD","5'9"" (175cm)","70.0"" (178cm)",156.0 lbs,Lightweight,"May 04, 2024"
Cody Brundage,N/A,1994.05.16,10-6-0 (Win-Loss-Draw),"$100,000 USD","6'0"" (183cm)","72.0"" (183cm)",186.0 lbs,Middleweight,"April 13, 2024"
Amanda Ribas,N/A,1993.08.26,12-5-0 (Win-Loss-Draw),"$100,000 USD","5'3"" (160cm)","66.0"" (168cm)",125.5 lbs,Flyweight,"March 23, 2024"
William Daniel Quarantillo,N/A,1988.12.08,18-6-0 (Win-Loss-Draw),"$124,000 USD","5'10"" (178cm)","70.0"" (178cm)",145.5 lbs,Featherweight,"March 23, 2024"
Rodolfo Vieira Srour,The Black Belt Hunter,1989.09.25,10-2-0 (Win-Loss-Draw),"$178,000 USD","6'0"" (183cm)","73.0"" (185cm)",185.5 lbs,Middleweight,"February 10, 2024"
Jalin Turner,The Tarantula,1995.05.18,14-8-0 (Win-Loss-Draw),"$129,000 USD","6'3"" (191cm)","75.5"" (192cm)",155.5 lbs,Lightweight,"April 13, 2024"
Rafael Garcia Jr.,Gifted,1994.08.05,16-3-0 (Win-Loss-Draw),$0 USD,"5'7"" (170cm)","70.0"" (178cm)",155.0 lbs,Lightweight,"April 15, 2023"
Luke Trainer,The Gent,1996.02.27,8-1-0 (Win-Loss-Draw),$0 USD,"6'6"" (198cm)","81.0"" (206cm)",203.8 lbs,Light Heavyweight,"March 22, 2024"
Irene Aldana Robles,N/A,1988.03.26,15-7-0 (Win-Loss-Draw),"$360,400 USD","5'9"" (175cm)","68.5"" (174cm)",136.0 lbs,Bantamweight,"December 16, 2023"
Veronica Hardy,N/A,1995.10.30,9-4-1 (Win-Loss-Draw),"$100,000 USD","5'4"" (163cm)","64.0"" (163cm)",126.0 lbs,Flyweight,"May 11, 2024"
Магомед Магомедов,Tiger,1991.12.25,20-4-0 (Win-Loss-Draw),"$15,000 USD","5'7"" (171cm)","69.0"" (175cm)",135.0 lbs,Bantamweight,"May 17, 2024"
